x,y,Class
continuous,continuous,discrete
,,class
0.237302316152,0.349905359121,C1
0.239782779593,0.281194523228,C1
0.174820622095,0.279806884059,C1
0.263955505191,0.294867778912,C1
0.206497476732,0.295537719232,C1
0.230153497963,0.293436873325,C1
0.199342421023,0.34856418869,C1
0.26928270582,0.308881236004,C1
0.204161851949,0.37069522046,C1
0.1930637706,0.276186333328,C1
0.258395644258,0.286521352961,C1
0.28178517843,0.242134192914,C1
0.245496807228,0.218762883408,C1
0.202331767933,0.260618786117,C1
0.267922946238,0.225067331151,C1
0.192889094657,0.231402801142,C1
0.204253172905,0.166489215803,C1
0.194376116184,0.19527718431,C1
0.181848395099,0.379431516017,C1
0.187157450807,0.293077066185,C1
0.237747404438,0.328571479881,C1
0.219378283126,0.318765804948,C1
0.230744612617,0.230459471163,C1
0.265637682789,0.262375497242,C1
0.269885819744,0.227403906408,C1
0.174564277189,0.308461469479,C1
0.163061148061,0.217666101478,C1
0.201348447269,0.289333906528,C1
0.169875708368,0.36330916009,C1
0.156781352655,0.330611592346,C1
0.135327591166,0.369977415834,C1
0.16717617056,0.300179640072,C1
0.169646024183,0.349569843898,C1
0.693123720097,0.777267585727,C2
0.711651384387,0.754663235753,C2
0.644508233614,0.748377692656,C2
0.760037545902,0.819219503655,C2
0.749355192741,0.804555989486,C2
0.793083777647,0.809880193332,C2
0.784780373736,0.873017240119,C2
0.678437950255,0.866831546651,C2
0.678203484656,0.860111426638,C2
0.712128294361,0.791175678518,C2
0.734031911933,0.71272819292,C2
0.721962947094,0.775650262947,C2
0.752386632186,0.729212465948,C2
0.773330422199,0.765620242411,C2
0.677140108836,0.799185965635,C2
0.670392710467,0.717173408132,C2
0.667248840319,0.774124077799,C2
0.656860156167,0.832799465875,C2
0.707052649667,0.839875043052,C2
0.749006075607,0.776128295038,C2
0.759117510711,0.800804502432,C2
0.684512833707,0.707967899747,C2
0.669922393998,0.746397579752,C2
0.659736211393,0.818622770706,C2
0.688587057722,0.826436897159,C2
0.683006642122,0.777370224258,C2
0.655348386616,0.889264087687,C2
0.683380106423,0.846156520353,C2
0.701765435485,0.884620014635,C2
0.725203790459,0.810758607543,C2
0.651887190503,0.84489934733,C2
0.77722073787,0.720302946409,C2
0.705982775994,0.78457663315,C2
0.796763641579,0.806935808292,C2
0.785997683635,0.856459489479,C2
0.708260239262,0.858550164515,C2
